Image #, Neuron #, Time Event,Censored,Constructs,Experiment
A1,,156,0,28iALS,LINCS06282017
A1,,48,1,28iALS,LINCS06282017
A1,,24,1,28iALS,LINCS06282017
A1,,12,1,28iALS,LINCS06282017
A1,,84,1,28iALS,LINCS06282017
A1,,96,1,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,12,1,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,12,1,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,24,1,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,12,1,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,12,1,28iALS,LINCS06282017
A1,,12,1,28iALS,LINCS06282017
A1,,156,0,28iALS,LINCS06282017
A1,,36,1,28iALS,LINCS06282017
A1,,156,0,30iALS,LINCS06282017
A1,,156,0,30iALS,LINCS06282017
A1,,156,0,30iALS,LINCS06282017
A1,,156,0,30iALS,LINCS06282017
A1,,156,0,30iALS,LINCS06282017
A1,,156,0,30iALS,LINCS06282017
A2,,132,1,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,48,1,30iALS,LINCS06282017
A2,,48,1,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,156,0,30iALS,LINCS06282017
A2,,108,1,30iALS,LINCS06282017
